,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Cape Town,40,ZA,1551573614,93,-33.93,18.42,69.01,5.82
1,Vaini,0,IN,1551571200,59,15.34,74.49,62.6,2.26
2,Chokurdakh,64,RU,1551573617,75,70.62,147.9,-11.72,16.24
3,Guaraciaba do Norte,92,BR,1551573619,96,-4.16,-40.75,71.72,2.26
4,Yamada,0,JP,1551573601,56,36.58,137.08,50.0,1.12
5,Panaba,0,MX,1551573621,49,21.28,-88.27,84.05,8.75
6,Esperance,75,TT,1551573307,78,10.24,-61.45,79.0,6.93
7,Luderitz,0,NA,1551573624,76,-26.65,15.16,63.89,20.38
8,Tashtyp,0,RU,1551573625,54,52.8,89.89,8.09,1.36
9,Rikitea,0,PF,1551573626,100,-23.12,-134.97,79.1,9.86
10,Bluff,0,AU,1551573628,47,-23.58,149.07,81.26,12.44
11,Guerrero Negro,32,MX,1551573630,53,27.97,-114.04,68.79,11.65
12,Bambous Virieux,75,MU,1551573547,83,-20.34,57.76,80.6,6.93
13,Ushuaia,40,AR,1551571200,66,-54.81,-68.31,51.8,3.36
14,Touros,40,BR,1551571200,94,-5.2,-35.46,78.8,6.93
15,Chuy,0,UY,1551573636,78,-33.69,-53.46,67.85,15.01
16,Taoudenni,0,ML,1551573637,41,22.68,-3.98,47.19,3.15
17,Siilinjarvi,90,FI,1551570600,85,63.08,27.67,14.0,16.11
18,Laguna,75,MX,1551570120,30,27.52,-110.01,82.4,9.17
19,Avarua,8,CK,1551571200,74,-21.21,-159.78,86.0,11.41
20,Ancud,64,CL,1551571200,87,-41.87,-73.83,53.6,3.36
21,Punta Arenas,75,CL,1551573189,76,-53.16,-70.91,51.8,5.82
22,Busselton,0,AU,1551573611,38,-33.64,115.35,72.0,13.22
23,Hattiesburg,90,US,1551573548,77,31.33,-89.29,64.99,2.37
24,Mahebourg,75,MU,1551573547,83,-20.41,57.7,80.6,6.93
25,Qaanaaq,0,GL,1551573652,61,77.48,-69.36,3.32,17.25
26,Hovd,90,NO,1551573316,98,63.83,10.7,33.8,9.17
27,Saint-Philippe,90,CA,1551573627,63,45.36,-73.48,28.0,5.82
28,Grand Forks,1,US,1551573139,63,47.91,-97.06,-5.81,10.29
29,Zhanaozen,88,KZ,1551573667,83,43.35,52.85,29.69,2.04
30,Mataura,0,NZ,1551573606,66,-46.19,168.86,66.0,7.0
31,Leh,76,IN,1551573670,81,34.16,77.58,-1.55,0.25
32,Ribeira Grande,8,PT,1551573556,98,38.52,-28.7,60.29,23.51
33,Port Elizabeth,40,US,1551573618,93,39.31,-74.98,39.0,4.7
34,Santa Isabel do Rio Negro,32,BR,1551573674,84,-0.41,-65.02,82.52,0.69
35,New Norfolk,44,AU,1551573495,88,-42.78,147.06,70.0,5.82
36,Norman Wells,20,CA,1551571200,42,65.28,-126.83,8.6,10.29
37,Kapaa,1,US,1551573504,60,22.08,-159.32,77.0,14.99
38,Volkhov,80,RU,1551573683,72,59.92,32.34,26.31,13.22
39,Hermanus,0,ZA,1551573096,89,-34.42,19.24,66.0,1.99
40,Cidreira,36,BR,1551573687,53,-30.17,-50.22,77.48,10.31
41,Athlone,92,IE,1551573518,80,53.42,-7.94,42.01,17.0
42,Mar del Plata,8,AR,1551573528,47,-46.43,-67.52,66.36,16.02
43,Hithadhoo,64,MV,1551573699,100,-0.6,73.08,82.43,12.77
44,Jamestown,0,AU,1551573702,22,-33.21,138.6,90.66,9.98
45,Nanortalik,88,GL,1551573703,96,60.14,-45.24,30.41,7.29
46,San Patricio,0,PY,1551573704,67,-26.98,-56.83,77.43,3.38
47,Hobart,92,AU,1551573614,88,-42.88,147.33,70.0,5.82
48,Namibe,24,AO,1551573657,100,-15.19,12.15,76.98,1.81
49,Vanavara,12,RU,1551573711,83,60.35,102.28,10.52,2.59
50,Kaitangata,0,NZ,1551573712,78,-46.28,169.85,65.64,3.83
51,Korsakov,75,RU,1551571200,67,46.63,142.78,21.2,4.47
52,Buchanan,20,LR,1551571200,94,5.88,-10.05,78.8,6.17
53,Ahipara,0,NZ,1551570971,59,-35.17,173.16,88.0,1.99
54,Torbay,20,CA,1551573211,62,47.66,-52.73,24.01,16.11
55,Severo-Kurilsk,0,RU,1551573654,100,50.68,156.12,26.76,14.0
56,Conchas,88,BR,1551573720,98,-23.02,-48.01,68.57,2.93
57,Mezhdurechensk,0,RU,1551573722,74,53.69,88.07,8.72,2.04
58,Pisco,0,PE,1551571200,73,-13.71,-76.2,75.2,18.34
59,Ormond Beach,1,US,1551573711,73,29.29,-81.06,75.0,4.7
60,Akbarpur,12,IN,1551573728,68,26.42,82.54,60.83,8.75
61,Mizan Teferi,8,ET,1551573730,81,6.99,35.58,59.48,2.48
62,Saint George,75,GR,1551570600,37,39.45,22.34,55.4,12.75
63,Vieira de Leiria,20,PT,1551573607,93,39.87,-8.94,52.0,2.24
64,Cayenne,92,GF,1551571200,94,4.94,-52.33,75.2,8.41
65,Moron,8,VE,1551573735,73,10.49,-68.2,71.81,3.49
66,Airai,12,TL,1551573605,84,-8.93,125.41,76.04,1.92
67,Dhidhdhoo,24,MV,1551573740,100,6.88,73.1,82.61,10.42
68,Derby,44,GB,1551573426,70,52.92,-1.48,48.2,20.8
69,Tabuk,44,PH,1551573743,74,17.41,121.44,65.64,2.59
70,Belvedere Marittimo,32,IT,1551573635,99,39.62,15.86,48.0,2.93
71,Bradford,20,GB,1551573725,75,53.79,-1.75,48.2,16.11
72,Geraldton,40,CA,1551571200,46,49.72,-86.95,6.8,9.17
73,Saint-Tite,90,CA,1551571210,54,46.73,-72.56,28.4,1.81
74,Agucadoura,75,PT,1551573606,87,41.43,-8.78,54.0,6.93
75,Pangnirtung,20,CA,1551573577,69,66.15,-65.72,-16.13,2.37
76,Tuktoyaktuk,20,CA,1551571200,64,69.44,-133.03,-0.41,18.34
77,Kaa-Khem,64,RU,1551573758,62,51.7,94.56,4.58,3.71
78,Trairi,92,BR,1551573762,100,-3.28,-39.27,78.29,16.02
79,Inhambane,20,MZ,1551573763,99,-23.87,35.38,77.84,8.19
80,Kavieng,0,PG,1551573764,97,-2.57,150.8,84.95,4.27
81,Albany,90,US,1551573510,55,42.65,-73.75,35.6,2.37
82,Bilibino,32,RU,1551573769,64,68.06,166.44,-9.51,3.15
83,Luau,48,CD,1551573771,95,-10.7,22.23,65.69,2.37
84,Butaritari,68,KI,1551573747,100,3.07,172.79,82.43,15.68
85,Tuatapere,0,NZ,1551573606,66,-46.13,167.69,66.0,7.0
86,Dingle,36,PH,1551573778,82,11.0,122.67,77.12,9.98
87,Raudeberg,88,NO,1551573604,80,61.99,5.14,42.01,17.22
88,Aykhal,64,RU,1551573780,69,65.95,111.51,-2.9,2.71
89,Port Alfred,80,ZA,1551573418,77,-33.59,26.89,68.0,1.99
90,Lebu,8,ET,1551571200,63,8.96,38.73,60.8,6.93
91,Georgetown,75,GY,1551571200,78,6.8,-58.16,80.6,6.93
92,Miles City,1,US,1551573546,63,46.41,-105.84,-7.01,9.17
93,Antofagasta,75,CL,1551571200,72,-23.65,-70.4,68.0,13.87
94,Atuona,0,PF,1551573789,100,-9.8,-139.03,81.17,8.75
95,Bredasdorp,56,ZA,1551572229,87,-34.53,20.04,66.0,2.24
96,Santa Maria,0,BR,1551573793,69,-29.69,-53.81,70.64,4.94
97,Tera,20,CY,1551573097,77,34.97,32.42,59.0,11.41
98,Novo Oriente,100,BR,1551573796,97,-5.54,-40.77,68.61,5.73
99,Patea,0,NZ,1551573797,53,-39.76,174.48,71.58,6.4
100,Srednekolymsk,56,RU,1551573799,60,67.46,153.71,-7.31,4.27
101,Adre,48,TD,1551573800,39,13.47,22.2,70.19,4.38
102,Syracuse,90,US,1551573796,100,43.05,-76.15,32.0,4.7
103,Tura,0,IN,1551573783,76,25.52,90.21,49.71,2.59
104,Panama City,40,US,1551573797,94,30.16,-85.65,70.0,6.93
105,Lorengau,8,PG,1551573512,92,-2.02,147.27,84.86,6.96
106,Upernavik,20,GL,1551573806,100,72.79,-56.15,0.35,0.13
107,Talnakh,76,RU,1551573807,85,69.49,88.39,16.1,16.24
108,Mareeba,75,AU,1551573634,94,-16.99,145.42,80.01,9.17
109,Gazojak,8,TM,1551573810,87,41.19,61.4,31.71,3.15
110,Isangel,36,VU,1551573672,94,-19.55,169.27,83.28,12.77
111,Barrow,0,AR,1551573591,66,-38.31,-60.23,60.96,7.07
112,Khatanga,48,RU,1551573815,46,71.98,102.47,-15.99,2.71
113,Eyl,100,SO,1551573821,100,7.98,49.82,75.05,5.95
114,Saskylakh,20,RU,1551573823,36,71.97,114.09,-24.72,2.93
115,Mehamn,75,NO,1551570600,79,71.03,27.85,26.6,29.97
116,Tasiilaq,68,GL,1551570600,85,65.61,-37.64,14.0,3.49
117,Nakamura,75,JP,1551573629,57,35.17,136.87,50.0,10.29
118,Sherman,90,US,1551573617,93,33.64,-96.61,44.01,6.93
119,Hilo,20,US,1551573688,57,19.71,-155.08,77.0,10.29
120,East London,88,ZA,1551573725,100,-33.02,27.91,71.45,2.15
121,Kavaratti,32,IN,1551573833,100,10.57,72.64,81.17,9.19
122,Hami,0,CN,1551573834,54,42.84,93.51,22.71,4.27
123,Bar Harbor,90,US,1551573725,50,44.39,-68.2,32.0,4.7
124,Santa Quiteria,0,ES,1551573764,61,37.67,-1.69,54.0,4.0
125,Sioux City,90,US,1551573663,78,42.5,-96.41,12.2,12.75
126,Pevek,24,RU,1551573842,79,69.7,170.27,-4.61,3.94
127,Tarakan,75,ID,1551571200,83,3.3,117.63,78.8,3.36
128,Verona,0,IT,1551573678,75,45.44,10.99,46.99,4.7
129,Ternate,20,PH,1551573439,69,14.29,120.72,80.01,4.7
130,Carbonia,40,IT,1551573011,87,39.17,8.53,57.0,13.87
131,Camacha,20,PT,1551571200,82,33.08,-16.33,62.6,2.24
132,Kollam,20,IN,1551571200,78,8.88,76.6,80.6,3.49
133,Kimbe,64,PG,1551573833,92,-5.56,150.15,84.36,3.49
134,Ajdabiya,88,LY,1551573853,85,30.75,20.22,55.16,11.43
135,Cabo San Lucas,20,MX,1551573111,20,22.89,-109.91,84.2,14.99
136,Puerto Ayora,20,EC,1551571200,70,-0.74,-90.35,84.2,10.29
137,Corrente,48,BR,1551573857,93,-17.45,-44.68,69.2,3.15
138,Saryg-Sep,76,RU,1551573858,77,51.49,95.55,8.27,3.15
